,Stress
462,6.0
745,6.0
674,6.0
886,9.0
352,6.0
886,11.0
113,13.0
10,11.0
905,8.0
974,8.0
78,21.0
135,6.0
486,6.0
298,7.0
65,19.0
826,6.0
590,6.0
925,6.0
352,9.0
29,17.0
227,10.0
303,6.0
630,8.0
798,10.0
554,7.0
337,7.0
509,7.0
477,7.0
610,7.0
251,6.0
523,7.0
494,8.0
383,8.0
254,6.0
316,7.0
316,8.0
802,7.0
350,6.0
128,6.0
450,6.0
464,6.0
111,6.0
252,9.0
570,10.0
548,6.0
535,6.0
168,15.0
270,6.0
746,6.0
785,7.0
306,6.0
774,8.0
196,6.0
109,19.0
280,6.0
707,6.0
410,12.0
602,6.0
582,6.0
841,10.0
916,8.0
247,12.0
926,12.0
366,9.0
248,12.0
348,9.0
40,21.0
398,6.0
857,10.0
259,9.0
514,7.0
383,7.0
529,10.0
256,6.0
422,6.0
938,10.0
617,7.0
288,6.0
514,11.0
97,8.0
879,8.0
555,7.0
680,8.0
448,6.0
689,13.0
85,21.0
406,6.0
237,6.0
508,7.0
787,6.0
881,10.0
694,7.0
691,13.0
23,16.0
873,11.0
63,19.0
494,7.0
307,6.0
775,6.0
682,10.0
962,10.0
705,10.0
936,10.0
667,7.0
39,21.0
401,6.0
887,11.0
219,9.0
472,7.0
915,8.0
876,8.0
941,10.0
356,7.0
618,9.0
746,8.0
210,9.0
115,6.0
575,8.0
780,9.0
243,12.0
949,8.0
429,9.0
315,8.0
101,6.0
577,10.0
427,9.0
530,6.0
173,7.0
466,8.0
586,10.0
705,6.0
529,9.0
231,6.0
4,11.0
764,10.0
32,15.0
379,10.0
774,6.0
903,11.0
124,6.0
701,6.0
163,8.0
203,6.0
699,7.0
334,7.0
940,10.0
471,8.0
49,18.0
433,6.0
324,7.0
787,7.0
614,7.0
423,6.0
104,6.0
935,10.0
480,6.0
196,9.0
531,7.0
247,6.0
218,6.0
322,7.0
425,9.0
397,6.0
291,6.0
913,7.0
220,6.0
902,10.0
286,6.0
78,23.0
59,18.0
693,7.0
354,9.0
92,14.0
733,7.0
129,14.0
73,19.0
361,9.0
394,7.0
210,6.0
69,19.0
239,6.0
162,8.0
576,8.0
898,10.0
623,11.0
868,10.0
982,9.0
450,6.0
818,10.0
820,10.0
469,8.0
613,7.0
275,6.0
45,16.0
309,6.0
805,7.0
364,6.0
76,23.0
865,10.0
381,10.0
321,9.0
444,6.0
441,6.0
723,10.0
489,8.0
30,17.0
70,7.0
596,6.0
528,9.0
807,11.0
864,10.0
439,7.0
515,11.0
923,12.0
685,10.0
538,7.0
44,16.0
600,10.0
168,7.0
438,7.0
11,11.0
873,8.0
572,10.0
752,8.0
351,6.0
344,8.0
538,8.0
611,10.0
485,6.0
297,7.0
773,6.0
185,7.0
591,6.0
178,16.0
207,10.0
558,10.0
647,8.0
565,9.0
715,7.0
332,6.0
901,11.0
249,12.0
414,7.0
575,10.0
123,6.0
453,6.0
342,8.0
357,7.0
941,9.0
598,10.0
416,7.0
950,8.0
194,6.0
253,9.0
616,9.0
675,10.0
617,9.0
266,6.0
488,8.0
67,19.0
479,8.0
609,10.0
411,7.0
503,6.0
378,10.0
938,10.0
869,10.0
304,8.0
365,9.0
888,11.0
213,9.0
163,11.0
497,6.0
589,10.0
622,9.0
193,9.0
872,10.0
641,8.0
706,6.0
297,6.0
845,8.0
261,6.0
771,9.0
240,6.0
757,8.0
900,7.0
402,6.0
305,6.0
361,7.0
943,9.0
544,6.0
714,8.0
426,9.0
505,7.0
71,19.0
670,6.0
259,6.0
51,18.0
620,7.0
238,10.0
504,7.0
332,6.0
326,9.0
765,6.0
324,9.0
701,7.0
879,8.0
487,8.0
483,6.0
609,7.0
382,8.0
861,10.0
904,11.0
924,12.0
518,7.0
242,12.0
526,10.0
192,6.0
567,10.0
721,7.0
327,6.0
838,10.0
979,9.0
84,21.0
