,Stress
388,9.0
546,10.0
680,11.0
371,9.0
874,6.0
851,8.0
660,7.0
803,10.0
795,6.0
645,7.0
29,14.0
794,11.0
556,6.0
681,14.0
577,6.0
126,6.0
283,9.0
739,6.0
200,7.0
524,7.0
76,11.0
540,8.0
211,6.0
695,12.0
748,23.0
806,10.0
447,7.0
484,7.0
95,8.0
37,8.0
563,8.0
281,7.0
742,19.0
863,6.0
615,7.0
731,6.0
501,10.0
891,7.0
594,8.0
55,7.0
206,7.0
392,12.0
794,6.0
870,6.0
397,8.0
766,17.0
796,10.0
258,9.0
45,14.0
642,6.0
843,8.0
612,8.0
779,9.0
960,10.0
587,12.0
725,18.0
683,14.0
98,7.0
804,6.0
768,10.0
614,7.0
406,6.0
502,7.0
88,8.0
73,11.0
929,8.0
779,19.0
200,6.0
134,9.0
68,11.0
40,6.0
34,8.0
230,6.0
530,10.0
378,7.0
288,6.0
418,10.0
715,21.0
391,12.0
592,8.0
539,8.0
179,6.0
103,6.0
512,10.0
647,7.0
169,6.0
384,10.0
520,7.0
64,7.0
14,6.0
197,7.0
81,15.0
492,6.0
379,7.0
187,7.0
763,17.0
216,7.0
791,6.0
93,16.0
878,6.0
337,6.0
789,11.0
719,18.0
765,10.0
295,6.0
742,7.0
33,14.0
292,7.0
767,10.0
502,10.0
455,8.0
944,6.0
815,7.0
269,7.0
12,8.0
201,6.0
161,6.0
596,7.0
729,18.0
401,8.0
702,15.0
517,13.0
812,9.0
146,12.0
565,8.0
430,10.0
38,8.0
42,14.0
428,10.0
602,6.0
121,6.0
205,7.0
34,6.0
775,19.0
508,7.0
468,10.0
495,7.0
918,6.0
407,8.0
91,8.0
380,10.0
897,10.0
564,8.0
386,9.0
776,19.0
241,8.0
13,6.0
315,6.0
600,7.0
387,11.0
314,9.0
166,6.0
840,6.0
20,6.0
646,7.0
859,8.0
525,7.0
171,6.0
545,10.0
831,6.0
284,9.0
607,8.0
562,8.0
899,9.0
686,16.0
957,11.0
189,7.0
823,10.0
975,11.0
699,17.0
516,13.0
722,15.0
510,7.0
99,6.0
474,7.0
601,6.0
856,6.0
747,23.0
252,9.0
21,6.0
354,9.0
459,9.0
201,7.0
276,9.0
955,11.0
232,8.0
385,11.0
805,6.0
454,12.0
532,10.0
343,6.0
769,19.0
349,9.0
702,12.0
130,6.0
704,14.0
871,6.0
140,12.0
413,10.0
87,6.0
499,7.0
330,6.0
255,9.0
466,8.0
121,7.0
655,7.0
61,12.0
741,7.0
112,7.0
147,6.0
311,9.0
860,6.0
476,10.0
143,12.0
95,16.0
672,8.0
883,6.0
942,10.0
331,6.0
471,8.0
362,12.0
305,6.0
966,10.0
482,7.0
212,7.0
574,8.0
650,9.0
420,10.0
149,6.0
245,6.0
99,7.0
161,6.0
651,9.0
810,6.0
331,9.0
237,8.0
24,13.0
585,9.0
888,9.0
74,11.0
755,21.0
374,9.0
367,8.0
889,7.0
154,6.0
415,9.0
398,10.0
289,6.0
70,11.0
432,8.0
816,9.0
934,6.0
547,10.0
198,7.0
637,11.0
710,16.0
534,6.0
233,7.0
120,7.0
527,9.0
14,6.0
792,6.0
628,6.0
599,7.0
187,6.0
597,7.0
360,12.0
188,7.0
845,8.0
719,21.0
117,7.0
722,18.0
138,12.0
480,7.0
781,10.0
27,13.0
806,6.0
462,9.0
745,19.0
674,15.0
886,9.0
352,6.0
886,6.0
113,7.0
10,8.0
905,7.0
974,10.0
78,15.0
135,9.0
486,6.0
298,6.0
65,7.0
826,9.0
590,8.0
925,8.0
352,9.0
29,6.0
227,6.0
303,6.0
630,7.0
798,6.0
554,6.0
337,9.0
509,10.0
477,10.0
610,8.0
251,9.0
523,7.0
494,6.0
383,7.0
254,9.0
316,6.0
316,9.0
802,10.0
350,6.0
128,6.0
450,7.0
464,9.0
111,9.0
252,8.0
570,8.0
548,10.0
535,6.0
168,6.0
270,7.0
746,19.0
785,6.0
306,6.0
774,19.0
196,7.0
109,9.0
280,7.0
707,15.0
410,8.0
602,7.0
582,9.0
841,6.0
916,9.0
247,8.0
926,6.0
366,8.0
248,8.0
348,10.0
40,8.0
398,8.0
857,6.0
259,9.0
514,7.0
383,10.0
529,9.0
256,9.0
422,10.0
938,9.0
617,10.0
288,9.0
514,13.0
97,16.0
879,8.0
555,6.0
680,14.0
448,7.0
689,12.0
85,8.0
406,8.0
237,7.0
508,10.0
787,10.0
881,6.0
694,16.0
691,12.0
23,6.0
873,6.0
63,7.0
494,7.0
307,6.0
775,9.0
682,11.0
962,10.0
705,14.0
936,10.0
667,8.0
39,8.0
401,10.0
887,6.0
219,6.0
472,10.0
915,9.0
876,6.0
941,9.0
356,10.0
618,7.0
746,7.0
210,6.0
115,7.0
575,6.0
780,19.0
243,6.0
949,8.0
429,9.0
315,9.0
101,6.0
577,8.0
427,9.0
530,9.0
173,6.0
466,10.0
586,12.0
705,15.0
529,10.0
231,6.0
4,14.0
764,17.0
32,6.0
379,10.0
774,9.0
903,10.0
124,7.0
701,17.0
163,6.0
203,6.0
699,12.0
334,9.0
940,9.0
471,10.0
49,6.0
433,8.0
324,6.0
787,6.0
614,8.0
423,10.0
104,6.0
935,6.0
480,11.0
196,7.0
531,10.0
247,6.0
218,7.0
322,6.0
425,9.0
397,10.0
291,7.0
913,6.0
220,7.0
902,7.0
286,9.0
78,6.0
59,7.0
693,16.0
354,6.0
92,16.0
733,19.0
129,6.0
73,7.0
361,9.0
394,12.0
210,7.0
69,11.0
239,8.0
162,6.0
576,6.0
898,9.0
623,6.0
868,8.0
982,11.0
450,10.0
818,7.0
820,7.0
469,10.0
613,8.0
275,9.0
45,6.0
309,9.0
805,10.0
364,12.0
76,7.0
865,8.0
381,10.0
321,10.0
444,7.0
441,8.0
723,15.0
489,9.0
30,6.0
70,11.0
596,8.0
528,10.0
807,10.0
864,6.0
439,11.0
515,13.0
923,6.0
685,12.0
538,8.0
44,6.0
600,7.0
168,6.0
438,8.0
11,8.0
873,6.0
572,8.0
752,23.0
351,6.0
344,6.0
538,8.0
611,8.0
485,7.0
297,6.0
773,9.0
185,7.0
591,8.0
178,6.0
207,6.0
558,11.0
647,9.0
565,10.0
715,16.0
332,9.0
901,10.0
249,8.0
414,9.0
575,8.0
123,7.0
453,8.0
342,6.0
357,10.0
941,10.0
598,7.0
416,9.0
950,8.0
194,7.0
253,8.0
616,7.0
675,11.0
617,7.0
266,7.0
488,9.0
67,11.0
479,7.0
609,8.0
411,9.0
503,10.0
378,9.0
938,10.0
869,6.0
304,9.0
365,8.0
888,6.0
213,6.0
163,6.0
497,7.0
589,8.0
622,6.0
193,7.0
872,9.0
641,7.0
706,15.0
297,6.0
845,6.0
261,9.0
